12;Micro;6.13501214;l=l1*l2;
13;Micro;31.17482757;fl=fl1/fl2;
14;Micro;0.76177315;dbl=1.23;
15;Micro;27.52096176;dbl=dbl1/dbl2;
16;Micro;9.42789173;dbl=dbl1*dbl2;
17;Micro;7.96273231;dbl=dbl1+dbl2;
18;Micro;206.70227050;dbl=pow();
19;Micro;149.79777526;dbl=log(dbl2);
20;Micro;26.39656448;dbl=sqrt(dbl1);
21;Micro;136.41136169;dbl=tan(dbl1);
22;Micro;107.16574096;dbl=sin(dbl1);
23;Micro;6.32369518;digitalWrite(9,0);
24;Micro;6.45017385;digitalWrite(9,1);
25;Micro;0.12668137;PORTB=PORTB|2;
26;Micro;0.37946546;bool1=PORTB&4;
27;Micro;4.80335378;digitalRead();
28;Micro;110.79827880;analogRead();
29;Micro;92.82080078;b random();
30;Micro;92.33963012;l random();
31;Micro;0.73025298;b min();
32;Micro;1.01473355;if(dbl1<dbl2);;
33;Micro;0.25693323;if(b1<b2);;
34;Micro;1.14189326;abs(int);
35;Micro;1.20341372;constrain(int);
36;Micro;0.73097300;if(b1<b2)..;
37;Micro;0.25306544;fRetByte();
38;Micro;0.50593357;fRetInt();
39;Micro;1.01142930;fRetDbl();
40;Micro;3.95960044;fRetLong();
0;Micro;0.01327333;dummy;
1;Micro;5.43955564;b=b1/b2;
2;Micro;0.63607559;b=b1*b2;
3;Micro;0.44551601;b=b1+b2;
4;Micro;0.12975598;b=gl. var;
5;Micro;0.13027597;b=23;
6;Micro;0.38295593;b=b1 << 4;
7;Micro;0.31995620;b=b1 & 0x01;
8;Micro;0.13047598;b=bit(3);
9;Micro;0.13063596;b=bit(3)+bit(4)+bit(1);
10;Micro;41.15253829;l=l1/l2;
11;Micro;1.77331438;l=l1+l2;
12;Micro;6.13387632;l=l1*l2;
13;Micro;31.47361373;fl=fl1/fl2;
14;Micro;0.76239581;dbl=1.23;
15;Micro;26.05187416;dbl=dbl1/dbl2;
16;Micro;9.17499351;dbl=dbl1*dbl2;
17;Micro;7.97635316;dbl=dbl1+dbl2;
18;Micro;196.55059814;dbl=pow();
19;Micro;148.46105957;dbl=log(dbl2);
20;Micro;24.76974678;dbl=sqrt(dbl1);
21;Micro;132.84640502;dbl=tan(dbl1);
22;Micro;104.28837585;dbl=sin(dbl1);
23;Micro;6.32399702;digitalWrite(9,0);
24;Micro;6.44967603;digitalWrite(9,1);
25;Micro;0.12663199;PORTB=PORTB|2;
26;Micro;0.37940416;bool1=PORTB&4;
27;Micro;4.80336380;digitalRead();
28;Micro;110.80747985;analogRead();
29;Micro;92.81919097;b random();
30;Micro;92.34134674;l random();
31;Micro;0.72123551;b min();
32;Micro;1.01535606;if(dbl1<dbl2);;
33;Micro;0.25639591;if(b1<b2);;
34;Micro;1.14171588;abs(int);
35;Micro;1.22403669;constrain(int);
36;Micro;0.72107558;if(b1<b2)..;
37;Micro;0.25301206;fRetByte();
38;Micro;0.50586013;fRetInt();
39;Micro;1.01139211;fRetDbl();
40;Micro;4.29395246;fRetLong();
0;Micro;0.01327333;dummy;
1;Micro;5.43901491;b=b1/b2;
2;Micro;0.63585414;b=b1*b2;
3;Micro;0.44649448;b=b1+b2;
4;Micro;0.12993464;b=gl. var;
5;Micro;0.13061466;b=23;
6;Micro;0.38337467;b=b1 << 4;
7;Micro;0.32013475;b=b1 & 0x01;
8;Micro;0.13041462;b=bit(3);
9;Micro;0.13125466;b=bit(3)+bit(4)+bit(1);
10;Micro;41.19602584;l=l1/l2;
11;Micro;1.77353343;l=l1+l2;
12;Micro;6.13445615;l=l1*l2;
13;Micro;31.13495826;fl=fl1/fl2;
14;Micro;0.76225452;dbl=1.23;
15;Micro;27.01562690;dbl=dbl1/dbl2;
16;Micro;9.34505271;dbl=dbl1*dbl2;
17;Micro;7.95681285;dbl=dbl1+dbl2;
18;Micro;184.36866760;dbl=pow();
19;Micro;149.04179382;dbl=log(dbl2);
20;Micro;25.64869689;dbl=sqrt(dbl1);
21;Micro;134.86067199;dbl=tan(dbl1);
22;Micro;105.76493835;dbl=sin(dbl1);
23;Micro;6.32441663;digitalWrite(9,0);
24;Micro;6.45041275;digitalWrite(9,1);
25;Micro;0.12666667;PORTB=PORTB|2;
26;Micro;0.37946674;bool1=PORTB&4;
27;Micro;4.80327510;digitalRead();
28;Micro;110.80937194;analogRead();
29;Micro;92.82015991;b random();
30;Micro;92.34004211;l random();
31;Micro;0.71725435;b min();
32;Micro;1.01525461;if(dbl1<dbl2);;
33;Micro;0.25685453;if(b1<b2);;
34;Micro;1.14157450;abs(int);
35;Micro;1.23953473;constrain(int);
36;Micro;0.71753425;if(b1<b2)..;
37;Micro;0.25308675;fRetByte();
38;Micro;0.50591092;fRetInt();
39;Micro;1.01150667;fRetDbl();
40;Micro;4.14792299;fRetLong();
0;Micro;0.01327467;dummy;
1;Micro;5.43926429;b=b1/b2;
2;Micro;0.63578486;b=b1*b2;
3;Micro;0.44626526;b=b1+b2;
4;Micro;0.13086533;b=gl. var;
5;Micro;0.13050533;b=23;
6;Micro;0.38350522;b=b1 << 4;
7;Micro;0.31950550;b=b1 & 0x01;
8;Micro;0.13038532;b=bit(3);
